Site,Status,Tempo,Elemento_OK,Hora
Google,200,0.216874361038208,False,2025-08-21 11:04:46
LinkedIn,200,0.38165831565856934,False,2025-08-21 11:04:53
Amazon,503,0.37485384941101074,False,2025-08-21 11:04:59
Globo,200,0.18042588233947754,False,2025-08-21 11:05:06
Teste 404,Erro,,False,2025-08-21 11:05:19
Teste 500,Erro,,False,2025-08-21 11:05:19
Teste 301,200,0.2754838466644287,False,2025-08-21 11:05:20
Teste 403,Erro,,False,2025-08-21 11:05:20
Google,200,0.22481226921081543,False,2025-08-21 11:06:21
LinkedIn,200,0.37963199615478516,False,2025-08-21 11:06:28
Amazon,503,0.2213585376739502,True,2025-08-21 11:06:34
Globo,200,0.09063887596130371,False,2025-08-21 11:06:37
Teste 404,Erro,,False,2025-08-21 11:06:48
Teste 500,Erro,,False,2025-08-21 11:06:48
Teste 301,200,0.2278761863708496,False,2025-08-21 11:06:48
Teste 403,Erro,,False,2025-08-21 11:06:48
Google,200,0.2616093158721924,False,2025-08-21 11:07:49
LinkedIn,200,0.37799525260925293,False,2025-08-21 11:07:55
Amazon,503,0.22174596786499023,True,2025-08-21 11:08:01
Globo,200,0.11548304557800293,False,2025-08-21 11:08:03
Teste 404,Erro,,False,2025-08-21 11:08:09
Teste 500,Erro,,False,2025-08-21 11:08:09
Teste 301,200,0.2702953815460205,False,2025-08-21 11:08:10
Teste 403,Erro,,False,2025-08-21 11:08:10
Google,200,0.21625638008117676,False,2025-08-21 11:09:10
LinkedIn,200,0.40278005599975586,False,2025-08-21 11:09:16
Amazon,503,0.18212509155273438,True,2025-08-21 11:09:23
Globo,200,0.17718052864074707,False,2025-08-21 11:09:25
Teste 404,Erro,,False,2025-08-21 11:09:39
Teste 500,Erro,,False,2025-08-21 11:09:40
Teste 301,200,0.21034026145935059,False,2025-08-21 11:09:40
Teste 403,Erro,,False,2025-08-21 11:09:40
Google,200,0.1930093765258789,False,2025-08-21 11:10:41
LinkedIn,200,0.407989501953125,False,2025-08-21 11:10:47
Amazon,503,0.26166582107543945,True,2025-08-21 11:10:53
Globo,200,0.16034626960754395,False,2025-08-21 11:10:54
Teste 404,Erro,,False,2025-08-21 11:11:04
Teste 500,Erro,,False,2025-08-21 11:11:05
Teste 301,200,0.25221896171569824,False,2025-08-21 11:11:05
Teste 403,Erro,,False,2025-08-21 11:11:05
Google,200,0.20091032981872559,False,2025-08-21 11:12:06
LinkedIn,200,0.31742310523986816,False,2025-08-21 11:12:12
Amazon,503,0.2183675765991211,True,2025-08-21 11:12:18
Globo,200,0.12325334548950195,False,2025-08-21 11:12:20
Teste 404,Erro,,False,2025-08-21 11:12:25
Teste 500,Erro,,False,2025-08-21 11:12:26
Teste 301,200,0.2493000030517578,False,2025-08-21 11:12:26
Teste 403,Erro,,False,2025-08-21 11:12:26
Google,200,0.2810938358306885,False,2025-08-21 11:13:27
LinkedIn,200,0.3461487293243408,False,2025-08-21 11:13:33
Amazon,503,0.1837444305419922,True,2025-08-21 11:13:39
Globo,200,0.10870146751403809,False,2025-08-21 11:13:40
Teste 404,Erro,,False,2025-08-21 11:13:51
Teste 500,Erro,,False,2025-08-21 11:13:51
Teste 301,200,0.2378699779510498,False,2025-08-21 11:13:51
Teste 403,Erro,,False,2025-08-21 11:13:52
Google,200,0.19405102729797363,False,2025-08-21 11:14:52
LinkedIn,200,0.47112178802490234,False,2025-08-21 11:14:58
Amazon,503,0.1962287425994873,True,2025-08-21 11:15:05
Globo,200,0.4109814167022705,False,2025-08-21 11:15:07
Teste 404,Erro,,False,2025-08-21 11:15:18
Teste 500,Erro,,False,2025-08-21 11:15:19
Teste 301,200,0.2465813159942627,False,2025-08-21 11:15:19
Teste 403,Erro,,False,2025-08-21 11:15:19
Google,200,0.215317964553833,False,2025-08-21 11:16:20
LinkedIn,200,0.32020115852355957,False,2025-08-21 11:16:26
Amazon,503,0.19111990928649902,True,2025-08-21 11:16:32
Globo,200,0.10307145118713379,False,2025-08-21 11:16:34
Teste 404,Erro,,False,2025-08-21 11:16:39
Teste 500,Erro,,False,2025-08-21 11:16:39
Teste 301,200,0.24431729316711426,False,2025-08-21 11:16:40
Teste 403,Erro,,False,2025-08-21 11:16:40
Google,200,0.20316481590270996,False,2025-08-21 11:17:40
LinkedIn,200,0.34220218658447266,False,2025-08-21 11:17:46
Amazon,503,0.3984849452972412,True,2025-08-21 11:17:53
Globo,200,0.2446892261505127,False,2025-08-21 11:17:54
Teste 404,Erro,,False,2025-08-21 11:18:05
Teste 500,Erro,,False,2025-08-21 11:18:06
Teste 301,200,0.2264409065246582,False,2025-08-21 11:18:06
Teste 403,Erro,,False,2025-08-21 11:18:06
Google,200,0.19513559341430664,False,2025-08-21 11:19:06
LinkedIn,200,0.3362586498260498,False,2025-08-21 11:19:12
Amazon,503,0.22951078414916992,True,2025-08-21 11:19:19
Globo,200,0.2993617057800293,False,2025-08-21 11:19:20
Teste 404,Erro,,False,2025-08-21 11:19:31
Teste 500,Erro,,False,2025-08-21 11:19:31
Teste 301,200,0.21921300888061523,False,2025-08-21 11:19:32
Teste 403,Erro,,False,2025-08-21 11:19:32
Google,200,0.2252354621887207,False,2025-08-21 11:20:32
LinkedIn,200,0.31537723541259766,False,2025-08-21 11:20:38
Amazon,503,0.18622064590454102,True,2025-08-21 11:20:45
Globo,200,0.2893509864807129,False,2025-08-21 11:20:46
Teste 404,Erro,,False,2025-08-21 11:20:52
Teste 500,Erro,,False,2025-08-21 11:20:52
Teste 301,200,0.2195887565612793,False,2025-08-21 11:20:52
